fpr,tpr,model,auc
0.0,0.0,LogReg,0.9241379310344828
0.0,0.034482758620689655,LogReg,0.9241379310344828
0.0,0.6206896551724138,LogReg,0.9241379310344828
0.1,0.6206896551724138,LogReg,0.9241379310344828
0.1,0.7241379310344828,LogReg,0.9241379310344828
0.2,0.7241379310344828,LogReg,0.9241379310344828
0.2,0.9655172413793104,LogReg,0.9241379310344828
0.5,0.9655172413793104,LogReg,0.9241379310344828
0.5,1.0,LogReg,0.9241379310344828
1.0,1.0,LogReg,0.9241379310344828
0.0,0.0,RandomForest,0.9620689655172414
0.0,0.10344827586206896,RandomForest,0.9620689655172414
0.0,0.20689655172413793,RandomForest,0.9620689655172414
0.0,0.3448275862068966,RandomForest,0.9620689655172414
0.0,0.41379310344827586,RandomForest,0.9620689655172414
0.0,0.7586206896551724,RandomForest,0.9620689655172414
0.1,0.7586206896551724,RandomForest,0.9620689655172414
0.1,0.9655172413793104,RandomForest,0.9620689655172414
0.5,0.9655172413793104,RandomForest,0.9620689655172414
0.5,1.0,RandomForest,0.9620689655172414
1.0,1.0,RandomForest,0.9620689655172414
0.0,0.0,SVM,0.9551724137931035
0.0,0.034482758620689655,SVM,0.9551724137931035
0.0,0.6551724137931034,SVM,0.9551724137931035
0.1,0.6551724137931034,SVM,0.9551724137931035
0.1,0.896551724137931,SVM,0.9551724137931035
0.2,0.896551724137931,SVM,0.9551724137931035
0.2,1.0,SVM,0.9551724137931035
1.0,1.0,SVM,0.9551724137931035
0.0,0.0,KNN,0.9637931034482758
0.0,0.6551724137931034,KNN,0.9637931034482758
0.1,0.8620689655172413,KNN,0.9637931034482758
0.2,0.9655172413793104,KNN,0.9637931034482758
0.4,1.0,KNN,0.9637931034482758
0.5,1.0,KNN,0.9637931034482758
1.0,1.0,KNN,0.9637931034482758
0.0,0.0,Gradient Boosting,0.9758620689655173
0.0,0.06896551724137931,Gradient Boosting,0.9758620689655173
0.0,0.896551724137931,Gradient Boosting,0.9758620689655173
0.1,0.896551724137931,Gradient Boosting,0.9758620689655173
0.1,0.9310344827586207,Gradient Boosting,0.9758620689655173
0.2,0.9310344827586207,Gradient Boosting,0.9758620689655173
0.2,0.9655172413793104,Gradient Boosting,0.9758620689655173
0.4,0.9655172413793104,Gradient Boosting,0.9758620689655173
0.4,1.0,Gradient Boosting,0.9758620689655173
1.0,1.0,Gradient Boosting,0.9758620689655173
0.0,0.0,Hist Gradient Boosting,0.9689655172413794
0.0,0.034482758620689655,Hist Gradient Boosting,0.9689655172413794
0.0,0.8620689655172413,Hist Gradient Boosting,0.9689655172413794
0.1,0.8620689655172413,Hist Gradient Boosting,0.9689655172413794
0.1,0.9655172413793104,Hist Gradient Boosting,0.9689655172413794
0.6,0.9655172413793104,Hist Gradient Boosting,0.9689655172413794
0.6,1.0,Hist Gradient Boosting,0.9689655172413794
1.0,1.0,Hist Gradient Boosting,0.9689655172413794
0.0,0.0,Extra Trees,0.9793103448275862
0.0,0.10344827586206896,Extra Trees,0.9793103448275862
0.0,0.4482758620689655,Extra Trees,0.9793103448275862
0.0,0.4827586206896552,Extra Trees,0.9793103448275862
0.0,0.5517241379310345,Extra Trees,0.9793103448275862
0.0,0.5862068965517241,Extra Trees,0.9793103448275862
0.0,0.6551724137931034,Extra Trees,0.9793103448275862
0.0,0.6896551724137931,Extra Trees,0.9793103448275862
0.0,0.7931034482758621,Extra Trees,0.9793103448275862
0.0,0.8620689655172413,Extra Trees,0.9793103448275862
0.1,0.8620689655172413,Extra Trees,0.9793103448275862
0.1,0.9310344827586207,Extra Trees,0.9793103448275862
0.1,0.9655172413793104,Extra Trees,0.9793103448275862
0.3,0.9655172413793104,Extra Trees,0.9793103448275862
0.3,1.0,Extra Trees,0.9793103448275862
1.0,1.0,Extra Trees,0.9793103448275862
